date,Union,FDP,GRUENE,LINKE,SPD,PIRATEN,AfD,firm,date_from,sample_size
2008-01-10,42,7,7,9,30,NA,NA,FG Wahlen,2008-01-08,1280
2008-01-11,37,11,9,12,27,NA,NA,Forsa,2008-01-07,2501
2008-01-18,38,10,8,11,28,NA,NA,Forsa,2008-01-14,2501
2008-01-23,39,9,9,10,30,NA,NA,Infratest dimap,2008-01-22,1000
2008-01-25,39,9,8,12,27,NA,NA,Forsa,2008-01-21,2502
2008-02-01,35,11,10,14,25,NA,NA,Forsa,2008-01-28,2502
2008-02-06,38,9,9,11,30,NA,NA,Infratest dimap,2008-02-04,1500
2008-02-07,41,7,7,10,30,NA,NA,FG Wahlen,2008-02-05,1275
2008-02-08,36,10,9,13,27,NA,NA,Forsa,2008-02-04,2501
2008-02-15,35,9,9,13,29,NA,NA,Forsa,2008-02-11,2500
2008-02-20,37,10,9,12,29,NA,NA,Infratest dimap,2008-02-19,1000
2008-02-22,36,10,9,12,28,NA,NA,Forsa,2008-02-18,2501
2008-02-28,38,9,9,12,29,NA,NA,Infratest dimap,2008-02-27,1000
2008-02-28,40,8,7,11,30,NA,NA,FG Wahlen,2008-02-26,1280
2008-02-29,38,10,10,14,24,NA,NA,Forsa,2008-02-25,2501
2008-03-05,39,8,10,12,28,NA,NA,Infratest dimap,2008-03-03,1500
2008-03-07,38,10,11,14,23,NA,NA,Forsa,2008-03-03,2501
2008-03-13,40,8,9,10,29,NA,NA,FG Wahlen,2008-03-11,1232
2008-03-14,37,11,11,14,22,NA,NA,Forsa,2008-03-10,2501
2008-03-18,38,9,11,12,27,NA,NA,Infratest dimap,2008-03-17,1000
2008-03-20,38,11,11,14,22,NA,NA,Forsa,2008-03-17,2000
2008-03-28,38,11,10,14,23,NA,NA,Forsa,2008-03-25,2001
2008-04-02,37,10,11,12,26,NA,NA,Infratest dimap,2008-03-31,1500
2008-04-03,39,9,9,11,28,NA,NA,FG Wahlen,2008-04-01,1230
2008-04-04,38,11,10,13,24,NA,NA,Forsa,2008-03-31,2503
2008-04-11,38,11,9,14,24,NA,NA,Forsa,2008-04-07,2501
2008-04-17,40,8,9,11,27,NA,NA,FG Wahlen,2008-04-15,1210
2008-04-18,38,10,9,14,24,NA,NA,Forsa,2008-04-14,2500
2008-04-23,36,10,11,12,27,NA,NA,Infratest dimap,2008-04-22,1000
2008-04-25,38,10,10,14,23,NA,NA,Forsa,2008-04-21,2503
2008-04-30,37,10,10,12,27,NA,NA,Infratest dimap,2008-04-28,1500
2008-05-02,37,11,10,14,23,NA,NA,Forsa,2008-04-28,2003
2008-05-08,40,8,9,11,27,NA,NA,FG Wahlen,2008-05-06,1191
2008-05-09,36,12,11,12,24,NA,NA,Forsa,2008-05-05,2500
2008-05-14,36,11,12,12,25,NA,NA,Infratest dimap,2008-05-13,1000
2008-05-16,36,12,11,13,23,NA,NA,Forsa,2008-05-13,2001
2008-05-23,35,12,11,14,23,NA,NA,Forsa,2008-05-19,2002
2008-05-29,40,9,10,11,25,NA,NA,FG Wahlen,2008-05-27,1224
2008-05-30,36,13,12,15,20,NA,NA,Forsa,2008-05-26,2501
2008-06-04,34,13,12,14,24,NA,NA,Infratest dimap,2008-06-02,1500
2008-06-06,35,14,11,15,20,NA,NA,Forsa,2008-06-02,2501
2008-06-11,36,12,11,13,24,NA,NA,Infratest dimap,2008-06-10,1000
2008-06-11,39,10,10,11,26,NA,NA,FG Wahlen,2008-06-09,1257
2008-06-13,36,13,11,14,21,NA,NA,Forsa,2008-06-09,2501
2008-06-22,36,13,9,15,22,NA,NA,Forsa,2008-06-16,2500
2008-06-27,35,14,10,14,22,NA,NA,Forsa,2008-06-23,2500
2008-07-02,36,12,11,13,25,NA,NA,Infratest dimap,2008-06-30,1500
2008-07-04,36,13,10,13,22,NA,NA,Forsa,2008-06-30,2502
2008-07-09,37,11,12,12,24,NA,NA,Infratest dimap,2008-07-08,1000
2008-07-10,39,10,9,12,26,NA,NA,FG Wahlen,2008-07-08,1292
2008-07-11,36,13,10,13,23,NA,NA,Forsa,2008-07-07,2502
2008-07-18,39,11,10,14,21,NA,NA,Forsa,2008-07-14,2501
2008-07-25,38,12,10,14,21,NA,NA,Forsa,2008-07-21,2502
2008-08-01,38,11,10,14,22,NA,NA,Forsa,2008-07-28,2500
2008-08-06,36,12,11,14,24,NA,NA,Infratest dimap,2008-08-04,1501
2008-08-08,37,12,11,14,20,NA,NA,Forsa,2008-08-04,2501
2008-08-14,40,9,10,11,25,NA,NA,FG Wahlen,2008-08-12,1263
2008-08-15,37,13,11,14,20,NA,NA,Forsa,2008-08-11,2500
2008-08-20,37,12,10,13,25,NA,NA,Infratest dimap,2008-08-19,1000
2008-08-24,37,12,10,15,20,NA,NA,Forsa,2008-08-18,2501
2008-08-29,37,13,10,14,21,NA,NA,Forsa,2008-08-25,2502
2008-09-03,36,11,10,13,26,NA,NA,Infratest dimap,2008-09-01,1500
2008-09-05,37,12,10,14,22,NA,NA,Forsa,2008-09-01,2501
2008-09-08,37,11,8,14,26,NA,NA,Forsa,2008-09-08,1002
2008-09-10,36,12,10,12,26,NA,NA,Infratest dimap,2008-09-09,1000
2008-09-11,40,9,9,11,26,NA,NA,FG Wahlen,2008-09-09,1250
2008-09-12,38,10,8,14,25,NA,NA,Forsa,2008-09-08,2500
2008-09-17,37,12,10,12,26,NA,NA,Infratest dimap,2008-09-16,1000
2008-09-19,36,11,9,14,25,NA,NA,Forsa,2008-09-15,2503
2008-09-26,37,11,8,13,26,NA,NA,Forsa,2008-09-22,2501
2008-10-01,35,13,11,11,25,NA,NA,Infratest dimap,2008-09-29,1500
2008-10-02,33,13,9,13,27,NA,NA,Forsa,2008-09-29,2008
2008-10-09,38,11,8,12,25,NA,NA,FG Wahlen,2008-10-07,1276
2008-10-10,35,13,10,12,24,NA,NA,Forsa,2008-10-06,2509
2008-10-15,35,12,10,13,25,NA,NA,Infratest dimap,2008-10-14,1000
2008-10-17,37,12,9,13,24,NA,NA,Forsa,2008-10-13,2501
2008-10-23,38,11,9,11,25,NA,NA,FG Wahlen,2008-10-21,1327
2008-10-24,36,13,8,13,24,NA,NA,Forsa,2008-10-20,2503
2008-10-31,36,12,7,13,26,NA,NA,Forsa,2008-10-27,2501
2008-11-05,37,11,11,12,25,NA,NA,Infratest dimap,2008-11-03,1500
2008-11-06,40,11,9,10,25,NA,NA,FG Wahlen,2008-11-04,1171
2008-11-07,37,12,9,13,23,NA,NA,Forsa,2008-11-03,2501
2008-11-12,37,11,11,13,25,NA,NA,Infratest dimap,2008-11-11,1000
2008-11-14,36,13,10,12,23,NA,NA,Forsa,2008-11-10,2500
2008-11-20,39,11,10,10,25,NA,NA,FG Wahlen,2008-11-18,1301
2008-11-21,38,11,11,12,23,NA,NA,Forsa,2008-11-17,2500
2008-11-28,38,12,10,12,23,NA,NA,Forsa,2008-11-24,2505
2008-12-03,37,12,12,12,23,NA,NA,Infratest dimap,2008-12-01,1500
2008-12-05,38,12,11,11,23,NA,NA,Forsa,2008-12-01,2501
2008-12-10,36,13,12,12,23,NA,NA,Infratest dimap,2008-12-09,1000
2008-12-11,39,11,9,10,26,NA,NA,FG Wahlen,2008-12-09,1268
2008-12-12,37,13,10,11,24,NA,NA,Forsa,2008-12-08,2502
2008-12-16,37,12,11,11,24,NA,NA,Infratest dimap,2008-12-15,1000
2008-12-19,37,12,10,12,24,NA,NA,Forsa,2008-12-15,2503
2009-01-05,37,13,10,11,23,NA,NA,Forsa,2009-01-05,1003
2009-01-06,36,12,11,11,25,NA,NA,Emnid,2008-12-23,2324
2009-01-07,37,13,10,10,26,NA,NA,Infratest dimap,2009-01-05,1500
2009-01-08,40,11,8,10,26,NA,NA,FG Wahlen,2009-01-05,1369
2009-01-09,36,13,9,11,25,NA,NA,Forsa,2009-01-05,2502
2009-01-12,36,12,10,12,26,NA,NA,Emnid,2009-01-05,4653
2009-01-16,36,14,9,11,24,NA,NA,Forsa,2009-01-12,2500
2009-01-19,35,13,11,12,25,NA,NA,Emnid,2009-01-12,4193
2009-01-21,35,14,11,11,25,NA,NA,Infratest dimap,2009-01-20,1000
2009-01-23,35,16,10,12,22,NA,NA,Forsa,2009-01-19,2503
2009-01-26,34,15,12,12,23,NA,NA,Emnid,2009-01-19,5570
2009-01-29,37,14,9,9,26,NA,NA,FG Wahlen,2009-01-27,1296
2009-01-30,34,16,11,11,23,NA,NA,Forsa,2009-01-26,2501
2009-02-02,34,16,11,12,24,NA,NA,Emnid,2009-01-26,5120
2009-02-04,34,16,11,11,25,NA,NA,Infratest dimap,2009-02-02,1750
2009-02-06,34,18,10,11,23,NA,NA,Forsa,2009-02-02,2500
2009-02-09,33,16,11,12,24,NA,NA,Emnid,2009-02-02,5115
2009-02-12,38,13,10,10,25,NA,NA,FG Wahlen,2009-02-10,1202
2009-02-13,34,18,10,12,22,NA,NA,Forsa,2009-02-09,2502
2009-02-16,34,16,12,11,24,NA,NA,Emnid,2009-02-09,4666
2009-02-18,33,16,11,11,26,NA,NA,Infratest dimap,2009-02-17,1000
2009-02-20,34,18,10,11,23,NA,NA,Forsa,2009-02-16,2506
2009-02-23,33,17,11,12,24,NA,NA,Emnid,2009-02-16,4595
2009-02-27,33,17,11,11,24,NA,NA,Forsa,2009-02-23,2503
2009-03-02,32,15,11,12,26,NA,NA,Emnid,2009-02-23,3675
2009-03-04,32,17,11,10,27,NA,NA,Infratest dimap,2009-03-02,1500
2009-03-05,37,15,10,10,24,NA,NA,FG Wahlen,2009-03-03,1319
2009-03-06,34,17,9,11,25,NA,NA,Forsa,2009-03-02,2500
2009-03-07,33,16,10,11,26,NA,NA,Emnid,2009-03-02,4154
2009-03-13,33,17,10,11,24,NA,NA,Forsa,2009-03-09,2501
2009-03-16,33,16,11,11,25,NA,NA,Emnid,2009-03-09,3679
2009-03-18,33,16,10,10,27,NA,NA,Infratest dimap,2009-03-17,1000
2009-03-20,34,16,10,11,24,NA,NA,Forsa,2009-03-16,2504
2009-03-21,33,15,10,12,27,NA,NA,Emnid,2009-03-17,2265
2009-03-26,37,15,9,10,25,NA,NA,FG Wahlen,2009-03-24,1245
2009-03-27,34,17,10,10,25,NA,NA,Forsa,2009-03-23,2505
2009-03-30,33,16,9,12,27,NA,NA,Emnid,2009-03-23,3199
2009-04-01,34,15,11,11,26,NA,NA,Infratest dimap,2009-03-30,1500
2009-04-03,36,16,10,10,24,NA,NA,Forsa,2009-03-30,2501
2009-04-06,34,15,10,11,26,NA,NA,Emnid,2009-03-30,3201
2009-04-07,34,14,11,10,27,NA,NA,Infratest dimap,2009-04-06,1000
2009-04-09,35,16,10,11,24,NA,NA,Forsa,2009-04-06,2000
2009-04-11,34,14,10,11,27,NA,NA,Emnid,2009-04-06,2749
2009-04-15,35,14,11,10,26,NA,NA,Infratest dimap,2009-04-14,1000
2009-04-17,35,16,10,11,23,NA,NA,Forsa,2009-04-14,2001
2009-04-20,34,13,10,11,28,NA,NA,Emnid,2009-04-14,3671
2009-04-23,37,14,9,10,26,NA,NA,FG Wahlen,2009-04-21,1445
2009-04-24,36,15,9,9,25,NA,NA,Forsa,2009-04-20,2501
2009-04-27,35,14,10,10,27,NA,NA,Emnid,2009-04-20,3179
2009-04-30,35,16,9,10,25,NA,NA,Forsa,2009-04-27,2001
2009-05-04,36,14,9,11,26,NA,NA,Emnid,2009-04-27,3169
2009-05-06,34,14,11,10,27,NA,NA,Infratest dimap,2009-05-04,1500
2009-05-07,37,13,9,10,27,NA,NA,FG Wahlen,2009-05-05,1343
2009-05-08,36,14,9,10,26,NA,NA,Forsa,2009-05-04,2501
2009-05-11,34,13,10,11,28,NA,NA,Emnid,2009-05-04,3207
2009-05-13,35,13,12,9,28,NA,NA,Infratest dimap,2009-05-12,1000
2009-05-15,36,14,11,10,24,NA,NA,Forsa,2009-05-11,2502
2009-05-18,35,13,11,10,27,NA,NA,Emnid,2009-05-11,4572
2009-05-22,35,15,11,10,24,NA,NA,Forsa,2009-05-18,2001
2009-05-25,34,14,10,11,27,NA,NA,Emnid,2009-05-19,4113
2009-05-28,36,12,10,9,28,NA,NA,FG Wahlen,2009-05-26,1348
2009-05-29,35,15,11,10,24,NA,NA,Forsa,2009-05-25,2502
2009-06-02,34,14,11,11,26,NA,NA,Emnid,2009-05-25,3206
2009-06-05,36,14,11,10,24,NA,NA,Forsa,2009-06-02,2008
2009-06-09,35,14,12,10,25,NA,NA,Emnid,2009-06-02,4133
2009-06-10,37,13,11,8,25,NA,NA,FG Wahlen,2009-06-08,1343
2009-06-10,36,14,13,9,25,NA,NA,Infratest dimap,2009-06-08,1500
2009-06-12,35,15,13,11,21,NA,NA,Forsa,2009-06-08,2501
2009-06-15,35,14,12,10,26,NA,NA,Emnid,2009-06-08,3674
2009-06-19,36,15,12,10,22,NA,NA,Forsa,2009-06-15,2503
2009-06-22,36,14,11,11,24,NA,NA,Emnid,2009-06-15,4142
2009-06-24,35,15,13,9,24,NA,NA,Infratest dimap,2009-06-23,1000
2009-06-26,36,15,12,11,21,NA,NA,Forsa,2009-06-22,2500
2009-06-29,35,14,12,11,24,NA,NA,Emnid,2009-06-22,3205
2009-07-01,35,15,13,10,23,NA,NA,Infratest dimap,2009-06-29,1500
2009-07-02,36,13,11,9,25,NA,NA,FG Wahlen,2009-06-30,1206
2009-07-03,37,15,13,9,21,NA,NA,Forsa,2009-06-29,2504
2009-07-06,36,14,11,11,24,NA,NA,Emnid,2009-06-29,3235
2009-07-10,36,14,12,10,23,NA,NA,Forsa,2009-07-06,2501
2009-07-13,36,13,12,11,23,NA,NA,Emnid,2009-07-06,4189
2009-07-15,36,14,13,10,23,NA,NA,Infratest dimap,2009-07-14,1000
2009-07-17,36,14,12,10,23,NA,NA,Forsa,2009-07-13,2507
2009-07-20,36,14,11,12,23,NA,NA,Emnid,2009-07-14,3245
2009-07-23,36,14,11,9,24,NA,NA,FG Wahlen,2009-07-21,1224
2009-07-24,38,13,12,9,23,NA,NA,Forsa,2009-07-20,2502
2009-07-27,35,15,11,11,24,NA,NA,Emnid,2009-07-21,2798
2009-07-29,36,14,13,10,24,NA,NA,Infratest dimap,2009-07-28,1000
2009-07-31,37,14,13,11,20,NA,NA,Forsa,2009-07-27,2502
2009-08-03,35,15,12,11,23,NA,NA,Emnid,2009-07-28,2340
2009-08-05,35,16,13,10,23,NA,NA,Infratest dimap,2009-08-03,1541
2009-08-06,36,14,12,9,23,NA,NA,FG Wahlen,2009-08-04,1194
2009-08-07,38,13,12,11,21,NA,NA,Forsa,2009-08-03,2501
2009-08-10,35,14,12,11,24,NA,NA,Emnid,2009-08-03,3727
2009-08-12,37,15,12,9,22,NA,NA,Infratest dimap,2009-08-11,1000
2009-08-17,36,14,12,10,23,NA,NA,Emnid,2009-08-10,3737
2009-08-17,37,13,12,11,22,NA,NA,Forsa,2009-08-11,2506
2009-08-19,36,15,13,9,23,NA,NA,Infratest dimap,2009-08-18,1000
2009-08-20,37,14,12,9,23,NA,NA,FG Wahlen,2009-08-18,1262
2009-08-24,36,14,12,10,24,NA,NA,Emnid,2009-08-17,3281
2009-08-24,37,13,12,10,22,NA,NA,Forsa,2009-08-18,2504
2009-08-26,37,14,12,9,23,NA,NA,FG Wahlen,2009-08-24,1338
2009-08-26,35,15,13,10,23,NA,NA,Infratest dimap,2009-08-24,1000
2009-08-31,35,14,11,11,24,NA,NA,Emnid,2009-08-24,3195
2009-08-31,36,14,12,10,22,NA,NA,Forsa,2009-08-25,2502
2009-09-02,35,14,13,11,23,NA,NA,Infratest dimap,2009-08-31,1500
2009-09-02,34,14,11,11,26,NA,NA,Emnid,2009-08-31,1833
2009-09-03,37,15,11,10,23,NA,NA,FG Wahlen,2009-09-01,1332
2009-09-07,35,13,12,12,24,NA,NA,Emnid,2009-08-31,3718
2009-09-07,35,14,10,14,21,NA,NA,Forsa,2009-09-01,2504
2009-09-09,35,14,12,12,23,NA,NA,Infratest dimap,2009-09-08,1000
2009-09-10,36,14,11,11,23,NA,NA,FG Wahlen,2009-09-08,1336
2009-09-11,35,13,11,13,22,NA,NA,Forsa,2009-09-07,2506
2009-09-14,37,12,11,10,24,NA,NA,Forsa,2009-09-14,1008
2009-09-16,35,13,11,12,25,NA,NA,Emnid,2009-09-14,1411
2009-09-17,36,13,10,11,25,NA,NA,FG Wahlen,2009-09-15,1352
2009-09-17,35,14,10,11,26,NA,NA,Infratest dimap,2009-09-15,1252
2009-09-21,35,13,11,10,26,NA,NA,Forsa,2009-09-15,2503
2009-09-24,33,14,10,12,25,NA,NA,Forsa,2009-09-21,2001
2009-10-01,35,14,11,13,22,NA,NA,FG Wahlen,2009-09-29,1326
2009-10-02,35,14,10,13,22,NA,NA,Forsa,2009-09-28,2501
2009-10-05,33,15,11,14,21,NA,NA,Emnid,2009-09-28,2766
2009-10-07,34,14,11,13,23,NA,NA,Infratest dimap,2009-10-05,1500
2009-10-09,34,16,11,13,20,NA,NA,Forsa,2009-10-05,2504
2009-10-12,34,15,11,14,20,NA,NA,Emnid,2009-10-05,3242
2009-10-14,34,14,12,13,22,NA,NA,Infratest dimap,2009-10-13,1000
2009-10-15,35,14,11,13,22,NA,NA,FG Wahlen,2009-10-13,1298
2009-10-16,35,16,10,13,20,NA,NA,Forsa,2009-10-12,2502
2009-10-19,34,14,12,13,21,NA,NA,Emnid,2009-10-12,3235
2009-10-22,35,14,10.5,12,23,NA,NA,Allensbach,2009-10-12,1834
2009-10-23,35,15,12,12,20,NA,NA,Forsa,2009-10-19,2503
2009-10-26,34,14,12,14,21,NA,NA,Emnid,2009-10-19,3235
2009-10-29,36,13,11,13,22,NA,NA,FG Wahlen,2009-10-27,1207
2009-10-30,36,12,12,12,21,NA,NA,Forsa,2009-10-26,2503
2009-11-02,33,14,13,13,22,NA,NA,Emnid,2009-10-26,2761
2009-11-04,35,14,12,12,22,NA,NA,Infratest dimap,2009-11-02,1750
2009-11-06,36,13,12,12,20,NA,NA,Forsa,2009-11-02,2500
2009-11-09,34,13,13,13,21,NA,NA,Emnid,2009-11-02,3251
2009-11-11,35,13,13,12,21,NA,NA,Infratest dimap,2009-11-10,1000
2009-11-13,36,13,12,12,20,NA,NA,Forsa,2009-11-09,2500
2009-11-16,34,12,13,13,22,NA,NA,Emnid,2009-11-09,5081
2009-11-19,35.5,14,11,11.5,23,NA,NA,Allensbach,2009-11-07,1792
2009-11-19,35,13,12,12,22,NA,NA,Infratest dimap,2009-11-17,1000
2009-11-20,37,12,13,12,19,NA,NA,Forsa,2009-11-16,2503
2009-11-23,34,13,12,13,23,NA,NA,Emnid,2009-11-16,4177
2009-11-26,35,13,10,12,24,NA,NA,FG Wahlen,2009-11-24,1253
2009-11-27,37,12,13,11,20,NA,NA,Forsa,2009-11-23,2503
2009-11-30,35,12,12,12,23,NA,NA,Emnid,2009-11-23,4165
2009-12-02,35,12,13,11,24,NA,NA,Infratest dimap,2009-11-30,1500
2009-12-04,36,12,13,12,20,NA,NA,Forsa,2009-11-30,2501
2009-12-07,34,12,13,12,23,NA,NA,Emnid,2009-11-30,4611
2009-12-09,35,12,14,11,24,NA,NA,Infratest dimap,2009-12-08,1000
2009-12-10,35,12,11,11,25,NA,NA,FG Wahlen,2009-12-08,1221
2009-12-11,34.5,13.5,11,12,24,NA,NA,Allensbach,2009-11-28,1788
2009-12-11,37,11,13,12,19,NA,NA,Forsa,2009-12-07,2500
2009-12-14,34,12,13,12,23,NA,NA,Emnid,2009-12-07,3678
2009-12-18,35,12,13,11,21,NA,NA,Forsa,2009-12-14,2500
2009-12-21,34,12,12,12,24,NA,NA,Emnid,2009-12-14,3707
2009-12-22,35,12,12,12,22,NA,NA,Forsa,2009-12-21,1004
2010-01-06,36,11,12,10,25,NA,NA,Infratest dimap,2010-01-04,1500
2010-01-08,35,10,14,11,22,NA,NA,Forsa,2010-01-04,2501
2010-01-11,34,12,13,12,23,NA,NA,Emnid,2010-01-04,4220
2010-01-14,36,11,12,11,25,NA,NA,FG Wahlen,2010-01-12,1256
2010-01-15,35,11,15,11,21,NA,NA,Forsa,2010-01-11,2500
2010-01-18,35,11,13,11,24,NA,NA,Emnid,2010-01-11,4219
2010-01-20,36,10,13,11,25,NA,NA,Infratest dimap,2010-01-19,1000
2010-01-21,34.5,13,11.5,11,25,NA,NA,Allensbach,2010-01-07,1849
2010-01-22,36,9,16,11,21,NA,NA,Forsa,2010-01-18,2502
2010-01-25,35,10,13,12,24,NA,NA,Emnid,2010-01-18,3280
2010-01-28,37,10,12,10,26,NA,NA,FG Wahlen,2010-01-26,1256
2010-01-29,36,9,16,11,22,NA,NA,Forsa,2010-01-25,2505
2010-02-01,36,10,12,11,25,NA,NA,Emnid,2010-01-25,3256
2010-02-03,36,8,15,11,26,NA,NA,Infratest dimap,2010-02-01,1502
2010-02-05,34,8,17,11,22,NA,NA,Forsa,2010-02-01,2501
2010-02-06,36,9,14,11,25,NA,NA,Emnid,2010-02-01,3258
2010-02-12,35,7,17,12,22,NA,NA,Forsa,2010-02-08,2503
2010-02-15,35,9,15,12,24,NA,NA,Emnid,2010-02-09,2327
2010-02-17,34,10,15,10,27,NA,NA,Infratest dimap,2010-02-16,1000
2010-02-19,37,10.5,13.5,10.5,23.5,NA,NA,Allensbach,2010-02-05,1816
2010-02-19,35,8,16,12,22,NA,NA,Forsa,2010-02-15,2500
2010-02-22,34,10,14,12,25,NA,NA,Emnid,2010-02-15,3260
2010-02-25,36,10,14,10,25,NA,NA,FG Wahlen,2010-02-23,1324
2010-02-26,35,9,16,11,22,NA,NA,Forsa,2010-02-22,2503
2010-03-01,34,10,15,12,24,NA,NA,Emnid,2010-02-22,3247
2010-03-03,36,10,14,11,25,NA,NA,Infratest dimap,2010-03-01,1500
2010-03-05,33,8,16,12,23,NA,NA,Forsa,2010-03-01,2502
2010-03-08,34,10,14,12,25,NA,NA,Emnid,2010-03-01,4197
2010-03-11,36,10,14,10,25,NA,NA,FG Wahlen,2010-03-09,1204
2010-03-12,34,8,16,11,23,NA,NA,Forsa,2010-03-08,2501
2010-03-15,35,9,15,11,24,NA,NA,Emnid,2010-03-08,3735
2010-03-17,36,9,13,11,25.5,NA,NA,Allensbach,2010-03-05,1812
2010-03-17,35,9,14,10,27,NA,NA,Infratest dimap,2010-03-16,1000
2010-03-19,32,8,15,12,25,NA,NA,Forsa,2010-03-15,2502
2010-03-22,35,9,14,11,25,NA,NA,Emnid,2010-03-15,3256
2010-03-25,37,9,13,11,26,NA,NA,FG Wahlen,2010-03-23,1260
2010-03-26,34,7,14,12,25,NA,NA,Forsa,2010-03-22,2501
2010-03-29,35,9,14,12,25,NA,NA,Emnid,2010-03-22,3713
2010-03-30,35,8,14,10,28,NA,NA,Infratest dimap,2010-03-29,1500
2010-04-01,34,7,15,12,24,NA,NA,Forsa,2010-03-29,2002
2010-04-06,34,9,14,12,26,NA,NA,Emnid,2010-03-29,2315
2010-04-09,36,8,15,11,23,NA,NA,Forsa,2010-04-06,2001
2010-04-12,35,8,15,12,25,NA,NA,Emnid,2010-04-06,2807
2010-04-14,36,9,14,10,26,NA,NA,Infratest dimap,2010-04-13,1000
2010-04-16,36,8,15,10,24,NA,NA,Forsa,2010-04-12,2501
2010-04-19,35,9,14,11,25,NA,NA,Emnid,2010-04-12,4164
2010-04-22,38,8,13,10,26,NA,NA,FG Wahlen,2010-04-20,1203
2010-04-23,35,9,13.5,9.5,27.5,NA,NA,Allensbach,2010-04-10,1833
2010-04-23,36,8,14,11,24,NA,NA,Forsa,2010-04-19,2500
2010-04-26,36,9,15,10,25,NA,NA,Emnid,2010-04-19,3226
2010-04-28,35,8,16,10,26,NA,NA,Infratest dimap,2010-04-26,1500
2010-04-30,34,8,16,10,25,NA,NA,Forsa,2010-04-26,2501
2010-05-03,34,9,16,10,26,NA,NA,Emnid,2010-04-26,2752
2010-05-07,35,7,15,12,24,NA,NA,Forsa,2010-05-03,2503
2010-05-10,34,8,15,11,26,NA,NA,Emnid,2010-05-03,3218
2010-05-11,32,7,17,11,28,NA,NA,Infratest dimap,2010-05-10,1000
2010-05-14,32,6,16,11,27,NA,NA,Forsa,2010-05-10,2001
